work_id,sale_price,regular_price,size_id
160228,85,85,24
160228,95,95,30
160236,85,85,24
160236,95,95,30
160244,85,85,24
160244,95,95,30
160252,85,85,24
160252,95,95,30
160260,75,75,24
160260,95,95,30
160268,85,85,24
160268,95,95,30
125752,95,95,30
125752,85,85,24
125752,305,535,3024
125752,325,575,3226
125752,375,675,3629
125752,405,735,4030
125752,495,915,4836
125752,675,1275,6048
125752,805,1535,6854
125818,95,95,30
125818,85,85,24
125818,335,595,3624
125818,425,775,4630
125818,535,995,5436
125818,605,1135,6040
125818,765,1455,7248
23448,75,75,20
23448,85,85,24
23448,95,95,30
23448,305,535,3024
23448,325,575,3226
23448,375,675,3629
23448,405,735,4030
23448,495,915,4836
23448,675,1275,6048
23448,805,1535,6854
125763,95,95,30
125763,85,85,24
125763,305,535,3024
125763,325,575,3226
125763,375,675,3629
125763,405,735,4030
125763,495,915,4836
125763,675,1275,6048
125763,805,1535,6854
125774,95,95,30
125774,85,85,24
125774,305,535,3024
125774,325,575,3226
125774,375,675,3629
125774,405,735,4030
125774,495,915,4836
125774,675,1275,6048
125774,805,1535,6854
125785,95,95,30
125785,85,85,24
125785,305,535,3024
125785,325,575,3226
125785,375,675,3629
125785,405,735,4030
125785,495,915,4836
125785,675,1275,6048
125785,805,1535,6854
125796,395,675,3629
125796,425,735,4030
125796,515,915,4836
125796,695,1275,6048
125796,825,1535,6854
125807,305,535,3024
125807,325,575,3226
125807,375,675,3629
125807,405,735,4030
125807,495,915,4836
125807,675,1275,6048
125807,805,1535,6854
24532,315,565,3624
24532,405,745,4630
24532,515,965,5436
24532,585,1105,6040
24532,745,1425,7248
124470,95,95,30
124470,85,85,24
124470,75,75,20
124470,315,565,3624
124470,405,745,4630
124470,515,965,5436
124470,585,1105,6040
124470,745,1425,7248
124479,315,565,3624
124479,405,745,4630
124479,515,965,5436
124479,585,1105,6040
124479,745,1425,7248
124488,315,565,3624
124488,405,745,4630
124488,515,965,5436
124488,585,1105,6040
124488,745,1425,7248
124497,315,565,3624
124497,405,745,4630
124497,515,965,5436
124497,585,1105,6040
124497,745,1425,7248
124506,315,565,3624
124506,405,745,4630
124506,515,965,5436
124506,585,1105,6040
124506,745,1425,7248
124515,95,95,30
124515,85,85,24
124515,315,565,3624
124515,405,745,4630
124515,515,965,5436
124515,585,1105,6040
124515,745,1425,7248
124524,95,95,30
124524,85,85,24
124524,315,565,3624
124524,405,745,4630
124524,515,965,5436
124524,585,1105,6040
124524,745,1425,7248
124533,95,95,30
124533,85,85,24
124533,315,565,3624
124533,405,745,4630
124533,515,965,5436
124533,585,1105,6040
124533,745,1425,7248
124542,315,565,3624
124542,405,745,4630
124542,515,965,5436
124542,585,1105,6040
124542,745,1425,7248
124551,315,565,3624
124551,405,745,4630
124551,515,965,5436
124551,585,1105,6040
124551,745,1425,7248
124560,315,565,3624
124560,405,745,4630
124560,515,965,5436
124560,585,1105,6040
124560,745,1425,7248
124569,315,565,3624
124569,405,745,4630
124569,515,965,5436
124569,585,1105,6040
124569,745,1425,7248
124578,315,565,3624
124578,405,745,4630
124578,515,965,5436
124578,585,1105,6040
124578,745,1425,7248
124587,315,565,3624
124587,405,745,4630
124587,515,965,5436
124587,585,1105,6040
124587,745,1425,7248
135881,95,95,30
135881,85,85,24
135881,305,545,2430
135881,325,585,2632
135881,375,685,2936
135881,405,745,3040
135881,495,925,3648
135881,675,1285,4860
135892,305,545,2430
135892,325,585,2632
135892,375,685,2936
135892,405,745,3040
135892,495,925,3648
135892,675,1285,4860
135892,805,1545,5468
135903,305,545,2430
135903,325,585,2632
135903,375,685,2936
135903,405,745,3040
135903,495,925,3648
135903,675,1285,4860
135903,805,1545,5468
135914,305,545,2430
135914,325,585,2632
135914,375,685,2936
135914,405,745,3040
135914,495,925,3648
135914,675,1285,4860
135914,805,1545,5468
135925,305,545,2430
135925,325,585,2632
135925,375,685,2936
135925,405,745,3040
135925,495,925,3648
135925,675,1285,4860
135925,805,1545,5468
135936,305,545,2430
135936,325,585,2632
135936,375,685,2936
135936,405,745,3040
135936,495,925,3648
135936,675,1285,4860
135936,805,1545,5468
135947,95,95,30
135947,85,85,24
135947,305,545,2430
135947,325,585,2632
135947,375,685,2936
135947,405,745,3040
135947,495,925,3648
135947,675,1285,4860
135947,805,1545,5468
135958,305,545,2430
135958,325,585,2632
135958,375,685,2936
135958,405,745,3040
135958,495,925,3648
135958,675,1285,4860
135958,805,1545,5468
31780,10,125,36
31780,10,95,30
31780,345,605,2436
31780,435,785,3046
31780,545,1005,3654
31780,615,1145,4060
31780,775,1465,4872
135969,305,545,2430
135969,325,585,2632
135969,375,685,2936
135969,405,745,3040
135969,495,925,3648
135969,675,1285,4860
135969,805,1545,5468
31778,305,545,2430
31778,325,585,2632
31778,375,685,2936
31778,405,745,3040
31778,495,925,3648
31778,675,1285,4860
31778,805,1545,5468
135980,305,545,2430
135980,325,585,2632
135980,375,685,2936
135980,405,745,3040
135980,495,925,3648
135980,675,1285,4860
135980,805,1545,5468
147731,235,355,1620
147731,265,415,2024
147731,305,495,2430
147731,325,535,2632
147731,375,635,2936
147731,405,695,3040
147731,495,875,3648
147731,675,1235,4860
147731,805,1495,5468
147742,215,355,1620
147742,245,415,2024
147742,285,495,2430
147742,305,535,2632
147742,355,635,2936
147742,385,695,3040
147742,475,875,3648
147742,655,1235,4860
147742,785,1495,5468
147753,235,355,1620
147753,265,415,2024
147753,305,495,2430
147753,325,535,2632
147753,375,635,2936
147753,405,695,3040
147753,495,875,3648
147753,675,1235,4860
147753,805,1495,5468
147764,215,355,1620
147764,245,415,2024
147764,285,495,2430
147764,305,535,2632
147764,355,635,2936
147764,385,695,3040
147764,475,875,3648
147764,655,1235,4860
147764,785,1495,5468
147815,385,625,3629
